Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Tag_360,默认变量表,Bool,%M69.1,,True,True,True,,
Tag_361,默认变量表,Bool,%M69.2,,True,True,True,,
Tag_362,默认变量表,Bool,%M69.3,,True,True,True,,
Tag_363,默认变量表,Bool,%M69.4,,True,True,True,,
Tag_364,默认变量表,Bool,%M70.1,,True,True,True,,
Tag_365,默认变量表,Bool,%M70.2,,True,True,True,,
Tag_366,默认变量表,Bool,%M70.3,,True,True,True,,
Tag_367,默认变量表,Bool,%M70.4,,True,True,True,,
Tag_368,默认变量表,Bool,%M71.1,,True,True,True,,
Tag_369,默认变量表,Bool,%M71.2,,True,True,True,,
Tag_370,默认变量表,Bool,%M71.3,,True,True,True,,
Tag_371,默认变量表,Bool,%M71.4,,True,True,True,,
Tag_372,默认变量表,Bool,%M72.1,,True,True,True,,
Tag_373,默认变量表,Bool,%M72.2,,True,True,True,,
Tag_374,默认变量表,Bool,%M72.3,,True,True,True,,
Tag_375,默认变量表,Bool,%M72.4,,True,True,True,,
Tag_376,默认变量表,Bool,%M31.2,,True,True,True,,
Tag_377,默认变量表,Bool,%M100.1,,True,True,True,,
Tag_378,默认变量表,Bool,%M100.2,,True,True,True,,
Tag_379,默认变量表,Bool,%M200.0,,True,True,True,,
Tag_380,默认变量表,Bool,%M200.2,,True,True,True,,
Tag_381,默认变量表,Bool,%M101.1,,True,True,True,,
Tag_382,默认变量表,Bool,%M101.2,,True,True,True,,
Tag_383,默认变量表,Bool,%M102.1,,True,True,True,,
Tag_384,默认变量表,Bool,%M102.2,,True,True,True,,
Tag_385,默认变量表,Bool,%M102.3,,True,True,True,,
Tag_386,默认变量表,Bool,%M300.0,,True,True,True,,
Tag_387,默认变量表,Bool,%M103.1,,True,True,True,,
Tag_388,默认变量表,Bool,%M103.2,,True,True,True,,
Tag_389,默认变量表,Bool,%M104.1,,True,True,True,,
Tag_390,默认变量表,Bool,%M104.2,,True,True,True,,
Tag_391,默认变量表,Bool,%M105.1,,True,True,True,,
Tag_392,默认变量表,Bool,%M105.2,,True,True,True,,
Tag_393,默认变量表,Bool,%M106.1,,True,True,True,,
Tag_394,默认变量表,Bool,%M106.2,,True,True,True,,
Tag_395,默认变量表,Bool,%M107.1,,True,True,True,,
Tag_396,默认变量表,Bool,%M107.2,,True,True,True,,
Tag_397,默认变量表,Bool,%M108.1,,True,True,True,,
Tag_398,默认变量表,Bool,%M108.2,,True,True,True,,
Tag_399,默认变量表,Bool,%M109.1,,True,True,True,,
Tag_400,默认变量表,Bool,%M109.2,,True,True,True,,
Tag_401,默认变量表,Bool,%M110.1,,True,True,True,,
Tag_402,默认变量表,Bool,%M110.2,,True,True,True,,
Tag_403,默认变量表,Bool,%M111.1,,True,True,True,,
Tag_404,默认变量表,Bool,%M111.2,,True,True,True,,
Tag_405,默认变量表,Bool,%M112.1,,True,True,True,,
Tag_406,默认变量表,Bool,%M112.2,,True,True,True,,
Tag_407,默认变量表,Bool,%M113.1,,True,True,True,,
Tag_408,默认变量表,Bool,%M113.2,,True,True,True,,
Tag_409,默认变量表,Bool,%M114.1,,True,True,True,,
Tag_410,默认变量表,Bool,%M114.2,,True,True,True,,
Tag_411,默认变量表,Bool,%M115.1,,True,True,True,,
